"mean_cycles","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26"
1168960349.8,10751012,1893,10010638,89508092,1257,65364964,23033525,191792968,2105,7064559,26742624,13847,3418743,20960888,68636343,112291359,1576734,13374943,136958,10347,618065,458949289,547597,76865,38242,321
1596826242.8,11745371,1474,10882513,96576091,1189,70329420,34099838,275372238,1856,8831760,36580329,13089,5560201,30742422,110422319,177574545,2565007,22976659,152368,8109,801981,802658524,609245,199779,38112,275
1589466809.8,11929552,1618,11059699,98075303,1086,71422044,34177444,275991904,1852,8850619,36662063,13089,5493076,30393188,109135180,175490787,2540497,22697432,150734,7943,688000,792380914,602898,66970,38067,272
1589479735.6,11746151,1530,10884306,96592488,1121,70338320,34672568,279981247,1860,8968690,37180567,13084,5493461,30405425,109161583,175522000,2535021,22690920,150478,8248,689816,792450131,601769,92731,38062,270
1579598941,11749531,1390,10882000,96591016,1043,70340327,33646959,271738994,1846,8720369,36101661,13091,5494413,30406501,109168442,175534803,2532879,22682763,155131,8516,685183,791897252,620223,104373,38052,270
1584329815.8,11749774,1345,10881795,96597117,1020,70344595,34137604,275671468,1857,8841173,36620509,13092,5491916,30394608,109105751,175472051,2528860,22687258,150773,8425,802236,792416424,603056,198884,38068,275
1580098000.4,11751034,1142,10882351,96601317,978,70346360,34183122,276039368,1855,8852136,36668236,13086,5412081,29964724,107536395,172948461,2495242,22689125,154348,8450,719360,792147816,617448,69237,38064,272
1589364230.6,11747986,1826,10887817,96606694,1263,70347637,34162248,275863202,1848,8849245,36648928,13081,5493879,30405234,109153670,175529234,2538064,22721665,152216,8390,798625,792814869,608697,219733,38106,277
1584241241.6,11750930,1934,10890168,96625939,1284,70364880,34167965,275903903,1844,8851848,36656554,12975,5413928,29955891,107545703,172951804,2501520,22997017,157182,8878,722106,803124883,628701,104552,38062,271
1589345448.8,11575663,1157,10725768,95193589,1218,69319734,34140918,275711525,1853,8839135,36620323,13089,5578325,30845550,110767204,178127689,2566764,22691073,152195,8614,674718,792332000,608684,101200,38111,279
1570487349.6,11750506,1541,10897545,96642796,1044,70372170,33658200,271813424,1855,8727146,36118231,13081,5494934,30399905,109151100,175520416,2536410,22353932,151287,8100,718943,780255819,604958,104137,38019,271
1598695461.6,11750856,1198,10889167,96630570,1066,70365765,34671555,279934380,1845,8968325,37180201,12980,5577332,30845976,110795054,178134237,2573510,22695724,153588,8411,699901,791899247,614291,88903,38134,276
1584712984,11575978,1310,10724943,95185599,944,69313136,34161831,275827841,1835,8846907,36646541,12986,5575071,30842874,110760014,178088480,2578137,23045127,153113,8525,803422,804413521,612234,97478,38021,271
1589596878.2,11754940,1480,10890192,96644066,1120,70377425,34183659,276025231,1839,8847266,36663294,12984,5411990,29956480,107512446,172912863,2493775,23023274,153259,8435,734108,803830473,612945,110381,38111,275
1579574691.6,11753636,1489,10889625,96616187,1105,70358151,34106148,275361847,1837,8838970,36594793,12974,5412768,29952833,107514115,172906237,2491243,22684897,154117,8544,710755,792498800,616352,103515,38060,272
1575203925.4,11747384,1174,10884002,96593314,966,70338956,33644747,271684857,1834,8719983,36100088,12976,5413792,29955953,107548734,172943703,2495268,22356379,150861,8383,677280,780255966,603119,108469,38102,274
1584443934,11749869,1617,10888686,96600443,1093,70343275,34141774,275672672,1838,8841464,36624554,12989,5410021,29949007,107499576,172870899,2494859,23027512,150974,8303,793594,804083066,603665,91452,38069,278
1584751952,12093613,1563,11206882,99418980,1042,72405182,34178186,275966386,1837,8849614,36662007,12983,5414930,29973157,107583616,173026600,2493020,22696272,150838,8247,683982,792513399,603220,71774,38017,265
1594036696.6,11928689,1298,11055022,98076549,929,71421482,34165724,275886103,1840,8842277,36643455,12976,5496323,30403991,109159872,175543119,2536683,22695617,156299,8643,703249,791917679,625228,99784,38108,276
1574993994.8,11758645,1189,10899383,96677151,1236,70401584,33657466,271794845,1856,8717520,36102273,13089,5501079,30408801,109199269,175638687,2532916,22698027,154965,8585,691060,792258442,619768,106667,38014,269
1579820836.4,11748452,1376,10882536,96575190,925,70327132,34162929,275858423,1837,8842595,36641842,12988,5415409,29973719,107575815,173008513,2494880,22699221,146845,7990,699876,792442413,587266,98257,38095,273
1575160921.4,11575560,1236,10728300,95217729,920,69333727,34178818,276001226,1839,8842559,36653822,12986,5417061,29975926,107585660,173037971,2497936,22686502,155580,7937,821298,791990716,622211,70316,38065,274
1589028474.6,11932501,1415,11055025,98091468,1141,71436378,34166685,275886291,1842,8843471,36645809,12980,5495892,30393605,109134253,175523674,2533680,22699688,157659,8759,719591,791816190,630672,103586,38067,269
1584893799.6,11572131,1378,10718855,95152974,1410,69287525,34687358,280047960,1841,8975310,37200911,12991,5497367,30411465,109197972,175600379,2536237,22680438,152026,8306,700977,791977330,607892,105557,38057,271
3580549.2,12483,307,3875,110838,406,71174,668551,4188559,700,405363,705348,47,40731,704454,1821596,2503302,32471,23363,2261,401,10379,353048,9195,1276,65273,6
5380426.2,69015,3697,32132,2233751,4535,1555283,669745,4211874,660,407750,709724,106,42360,849657,2195188,2938185,29355,82365,6004,1229,28070,2194189,25502,4534,65207,2
1236882611,14367365,2135,218950,451018917,2088,298684821,98180731,407586578,2247,3138514,5145838,14776,107152,5813699,336939013,240276247,55983,12750720,25584,7043,115772,629724471,102242,9170,114580,308
1555758146.6,15512117,1111,224221,487588432,972,322651753,164227561,671096156,1959,3458727,5128006,13770,95443,5401963,487782183,343359454,44693,15786800,16816,4882,183517,782413195,66899,88988,117814,260
1572620817.2,15528530,1079,221348,487898523,970,322857126,162115041,662511076,1947,3422295,5076400,13778,95758,5472859,496164184,349218071,48181,16063571,17027,5029,100264,796023209,67755,5551,120441,271
1572185788.8,15517697,1264,220744,487718160,1066,322737339,167155222,682989733,1937,3508256,5197705,13778,96151,5407266,488370691,343711505,51235,15815283,17080,5112,184124,783761552,67968,11105,120378,268
1548231293.6,15286659,1426,217365,480328586,1361,317845825,164682407,672939351,1911,3464662,5136102,13766,94390,5342716,480834826,338535849,46674,15563884,16769,5082,100891,771579309,66732,31655,119130,266
1558003517.8,15287566,1351,216548,480297579,1268,317825237,164702080,673018421,1916,3464815,5136391,13758,96107,5409158,488632997,343948842,46710,15573877,16789,5114,190863,771931636,66837,33818,120380,271
5663488.2,70519,3957,33643,2257504,4813,1569807,668825,4216057,765,410898,712318,106,44882,870012,2246979,3030650,33533,117286,6441,1896,29400,2463006,27469,2680,65354,2
1263105980.2,14767757,1719,217881,456644766,1705,302575354,97804568,406915982,2234,3461556,5602325,14816,108203,6712004,359774492,257113768,57802,13492100,24854,6743,112561,652934134,99269,18661,114536,302
1560450304.2,15819300,1142,222926,489177281,930,323879317,164515553,674294159,1917,4113983,6111091,13771,94698,6367835,487647825,344501786,50081,16121536,17023,5049,100799,782389640,67745,118412,118463,267
1567730726.4,15826156,961,219625,489301548,945,323961436,167355152,685867030,1917,4174184,6197016,13769,95427,6381135,489079176,345511673,48465,16155339,17041,5151,184396,784140357,67815,6541,118513,264
1557993942.8,15817604,940,221631,489052668,953,323796481,164839506,675613665,1912,4120610,6120658,13771,95174,6303325,481786344,340389017,48633,16151358,16807,5030,67470,783937050,66858,33835,118508,265
1543174356.6,15584444,910,219225,481717264,969,318937888,162333633,665402794,1916,4068104,6045512,13761,95862,6298500,481275471,340040056,48515,15899070,17154,5190,190954,771341629,68188,11047,118489,266
1543354165.2,15570993,1349,216913,481532872,1369,318815601,162201901,664866531,1918,4065319,6041595,13767,94347,6304774,481633915,340278601,48439,15911278,16769,4958,98335,771740272,66765,33233,118532,270
5724634.2,65193,3713,31503,2247593,4818,1564046,665259,4188198,703,408613,708439,135,39969,826448,2145512,2846437,27587,140852,8927,2263,40272,3015221,36546,1855,65473,2
1307633057.2,37281272,2098,200439,387802009,2197,263269704,129504918,612166304,2168,30531590,45448250,14626,108954,49140786,436781845,399950896,57427,42173872,24364,6778,216718,675668470,97341,16291,114487,325
1583175461,49338173,1143,236907,512650983,1026,347799251,164495824,769798313,1913,37501502,55192299,13671,97461,53799548,496984615,452187600,48376,49639726,16794,5170,182598,794210401,66887,125011,127529,278
1567134683.2,49459073,928,233594,513761712,907,348553327,162341545,759759623,1903,37016911,54481631,13675,95892,53928508,498205971,453385714,47590,49717493,16886,5076,68311,795509421,67159,5414,123585,265
1566900554.8,49469364,1193,238055,514042561,1228,348743845,162258967,759375871,1900,36998720,54454753,13669,97126,54707159,505546155,460150149,45572,48950093,16776,4997,190610,783078961,66705,35031,123606,265
1547567515.8,47913797,1223,227755,497764686,960,337695376,159781690,747838470,1904,36442309,53639282,13661,94142,53930860,498251451,453494109,48896,48253544,16867,5091,73040,771819864,67091,122390,124890,270
10194216.2,69787,3935,33291,2241866,4779,1559798,522369,3274692,639,316620,549730,75,42676,854924,2229181,2976686,31380,85082,6012,1337,27076,2605942,25131,27606,72761,15
893953769.2,32825699,1691,148418,262622930,1633,180663628,79733803,421266386,2171,33382524,50642440,14552,107974,55483360,281364696,311715750,58120,32522554,23782,6828,105793,431583890,95051,85971,93479,328
